,,"Mots d'ordre et résultats par parti depuis la 46ème législature à la 50ème (1999-2019) (Les votations commencent début 2000, la légilature commençant en décembre 1999)",,,,,,,,,,,,,,,,,,
,Sujets de votations,oui en %,non en %,Résultat CH,PLR CH,Gagné/perdu CH,PS CH,Gagné/perdu CH,PDC CH,Gagné/perdu CH,UDC CH,Gagné/perdu CH,PVL CH,Gagné/perdu CH,PBD CH,Gagné/perdu CH,Verts CH,Gagné/perdu CH,Conseil fédéral,Gagné/perdu CH
,"Contre projet à l'initiative de""oui à la médecine de famille""","88,0%","12,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Initiative pour que les pédophiles ne travaillent plus avec des enfants,"63,5%","36,5%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,oui,gagné,non,perdu,non,perdu
,Initiative pour les salaires minimum (salaires équitables),"23,7%","76,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Loi sur le fond d'aquisition de l'avion de combat Gripen,"46,6%","53,4%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,non,gagné,oui,perdu
,Stop à la TVA discriminatoire pour la restauration!,"28,5%","71,5%",non,non,gagné,non,gagné,liberté de vote,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
,Caisse unique,"38,2%","61,8%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,Abolition des forfaits fiscaux,"40,8%","59,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Initiative ""Ecopop""","25,9%","74,1%",non,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné
,Initiative sur l'or,"22,7%","77,3%",non,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné,non,gagné
2015,"Initiative ""Aider les familles""","24,6%","75,4%",non,non,gagné,non,gagné,oui,perdu,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné
